4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Greece,Postgraduate (research),All,2021/22,North East,30
All,Greece,Postgraduate (research),All,2021/22,North West,85
All,Greece,Postgraduate (research),All,2021/22,Yorkshire and The Humber,55
All,Greece,Postgraduate (research),All,2021/22,East Midlands,50
All,Greece,Postgraduate (research),All,2021/22,West Midlands,75
All,Greece,Postgraduate (research),All,2021/22,East of England,95
All,Greece,Postgraduate (research),All,2021/22,London,255
All,Greece,Postgraduate (research),All,2021/22,South East,130
All,Greece,Postgraduate (research),All,2021/22,South West,40
All,Greece,Postgraduate (research),All,2021/22,The Open University in England,0
All,Greece,Postgraduate (research),All,2021/22,England,810
All,Greece,Postgraduate (research),All,2021/22,Wales,25
All,Greece,Postgraduate (research),All,2021/22,Scotland,155
All,Greece,Postgraduate (research),All,2021/22,Northern Ireland,10
All,Greece,Postgraduate (research),All,2021/22,Total United Kingdom,995
All,Greece,Postgraduate (taught),Full-time,2021/22,North East,80
All,Greece,Postgraduate (taught),Full-time,2021/22,North West,50
All,Greece,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,40
All,Greece,Postgraduate (taught),Full-time,2021/22,East Midlands,25
All,Greece,Postgraduate (taught),Full-time,2021/22,West Midlands,45
All,Greece,Postgraduate (taught),Full-time,2021/22,East of England,50
All,Greece,Postgraduate (taught),Full-time,2021/22,London,565
All,Greece,Postgraduate (taught),Full-time,2021/22,South East,100
All,Greece,Postgraduate (taught),Full-time,2021/22,South West,50
All,Greece,Postgraduate (taught),Full-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (taught),Full-time,2021/22,England,1005
All,Greece,Postgraduate (taught),Full-time,2021/22,Wales,50
All,Greece,Postgraduate (taught),Full-time,2021/22,Scotland,180
All,Greece,Postgraduate (taught),Full-time,2021/22,Northern Ireland,0
All,Greece,Postgraduate (taught),Full-time,2021/22,Total United Kingdom,1235
All,Greece,Postgraduate (taught),Part-time,2021/22,North East,10
All,Greece,Postgraduate (taught),Part-time,2021/22,North West,45
All,Greece,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,25
All,Greece,Postgraduate (taught),Part-time,2021/22,East Midlands,10
All,Greece,Postgraduate (taught),Part-time,2021/22,West Midlands,30
All,Greece,Postgraduate (taught),Part-time,2021/22,East of England,15
All,Greece,Postgraduate (taught),Part-time,2021/22,London,135
All,Greece,Postgraduate (taught),Part-time,2021/22,South East,30
All,Greece,Postgraduate (taught),Part-time,2021/22,South West,20
All,Greece,Postgraduate (taught),Part-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (taught),Part-time,2021/22,England,315
All,Greece,Postgraduate (taught),Part-time,2021/22,Wales,20
All,Greece,Postgraduate (taught),Part-time,2021/22,Scotland,65
All,Greece,Postgraduate (taught),Part-time,2021/22,Northern Ireland,5
All,Greece,Postgraduate (taught),Part-time,2021/22,Total United Kingdom,400
All,Greece,Postgraduate (taught),All,2021/22,North East,90
All,Greece,Postgraduate (taught),All,2021/22,North West,95
All,Greece,Postgraduate (taught),All,2021/22,Yorkshire and The Humber,65
All,Greece,Postgraduate (taught),All,2021/22,East Midlands,35
All,Greece,Postgraduate (taught),All,2021/22,West Midlands,75
All,Greece,Postgraduate (taught),All,2021/22,East of England,65
All,Greece,Postgraduate (taught),All,2021/22,London,695
All,Greece,Postgraduate (taught),All,2021/22,South East,130
All,Greece,Postgraduate (taught),All,2021/22,South West,65
All,Greece,Postgraduate (taught),All,2021/22,The Open University in England,0
All,Greece,Postgraduate (taught),All,2021/22,England,1320
All,Greece,Postgraduate (taught),All,2021/22,Wales,65
All,Greece,Postgraduate (taught),All,2021/22,Scotland,245
All,Greece,Postgraduate (taught),All,2021/22,Northern Ireland,5
All,Greece,Postgraduate (taught),All,2021/22,Total United Kingdom,1635
All,Greece,All postgraduate,Full-time,2021/22,North East,105
All,Greece,All postgraduate,Full-time,2021/22,North West,125
All,Greece,All postgraduate,Full-time,2021/22,Yorkshire and The Humber,90
All,Greece,All postgraduate,Full-time,2021/22,East Midlands,70
All,Greece,All postgraduate,Full-time,2021/22,West Midlands,105
All,Greece,All postgraduate,Full-time,2021/22,East of England,130
All,Greece,All postgraduate,Full-time,2021/22,London,775
All,Greece,All postgraduate,Full-time,2021/22,South East,220
All,Greece,All postgraduate,Full-time,2021/22,South West,80
All,Greece,All postgraduate,Full-time,2021/22,The Open University in England,0
All,Greece,All postgraduate,Full-time,2021/22,England,1685
All,Greece,All postgraduate,Full-time,2021/22,Wales,65
All,Greece,All postgraduate,Full-time,2021/22,Scotland,315
All,Greece,All postgraduate,Full-time,2021/22,Northern Ireland,15
All,Greece,All postgraduate,Full-time,2021/22,Total United Kingdom,2080
All,Greece,All postgraduate,Part-time,2021/22,North East,20
All,Greece,All postgraduate,Part-time,2021/22,North West,55
All,Greece,All postgraduate,Part-time,2021/22,Yorkshire and The Humber,30
All,Greece,All postgraduate,Part-time,2021/22,East Midlands,15
All,Greece,All postgraduate,Part-time,2021/22,West Midlands,45
All,Greece,All postgraduate,Part-time,2021/22,East of England,25
All,Greece,All postgraduate,Part-time,2021/22,London,180
All,Greece,All postgraduate,Part-time,2021/22,South East,45
All,Greece,All postgraduate,Part-time,2021/22,South West,25
All,Greece,All postgraduate,Part-time,2021/22,The Open University in England,0
All,Greece,All postgraduate,Part-time,2021/22,England,440
All,Greece,All postgraduate,Part-time,2021/22,Wales,25
All,Greece,All postgraduate,Part-time,2021/22,Scotland,85
All,Greece,All postgraduate,Part-time,2021/22,Northern Ireland,5
All,Greece,All postgraduate,Part-time,2021/22,Total United Kingdom,550
All,Greece,All postgraduate,All,2021/22,North East,120
All,Greece,All postgraduate,All,2021/22,North West,180
All,Greece,All postgraduate,All,2021/22,Yorkshire and The Humber,120
All,Greece,All postgraduate,All,2021/22,East Midlands,85
All,Greece,All postgraduate,All,2021/22,West Midlands,145
All,Greece,All postgraduate,All,2021/22,East of England,155
All,Greece,All postgraduate,All,2021/22,London,955
All,Greece,All postgraduate,All,2021/22,South East,260
All,Greece,All postgraduate,All,2021/22,South West,105
All,Greece,All postgraduate,All,2021/22,The Open University in England,0
All,Greece,All postgraduate,All,2021/22,England,2130
All,Greece,All postgraduate,All,2021/22,Wales,90
All,Greece,All postgraduate,All,2021/22,Scotland,400
All,Greece,All postgraduate,All,2021/22,Northern Ireland,15
All,Greece,All postgraduate,All,2021/22,Total United Kingdom,2630
All,Greece,First degree,Full-time,2021/22,North East,340
All,Greece,First degree,Full-time,2021/22,North West,210
All,Greece,First degree,Full-time,2021/22,Yorkshire and The Humber,215
All,Greece,First degree,Full-time,2021/22,East Midlands,170
All,Greece,First degree,Full-time,2021/22,West Midlands,235
All,Greece,First degree,Full-time,2021/22,East of England,230
All,Greece,First degree,Full-time,2021/22,London,950
All,Greece,First degree,Full-time,2021/22,South East,800
All,Greece,First degree,Full-time,2021/22,South West,415
All,Greece,First degree,Full-time,2021/22,The Open University in England,0
All,Greece,First degree,Full-time,2021/22,England,3565
All,Greece,First degree,Full-time,2021/22,Wales,175
All,Greece,First degree,Full-time,2021/22,Scotland,535
All,Greece,First degree,Full-time,2021/22,Northern Ireland,5
All,Greece,First degree,Full-time,2021/22,Total United Kingdom,4285
All,Greece,First degree,Part-time,2021/22,North East,20
All,Greece,First degree,Part-time,2021/22,North West,5
All,Greece,First degree,Part-time,2021/22,Yorkshire and The Humber,5
All,Greece,First degree,Part-time,2021/22,East Midlands,5
All,Greece,First degree,Part-time,2021/22,West Midlands,10
All,Greece,First degree,Part-time,2021/22,East of England,10
All,Greece,First degree,Part-time,2021/22,London,25
All,Greece,First degree,Part-time,2021/22,South East,25
All,Greece,First degree,Part-time,2021/22,South West,10
All,Greece,First degree,Part-time,2021/22,The Open University in England,0
All,Greece,First degree,Part-time,2021/22,England,115
All,Greece,First degree,Part-time,2021/22,Wales,5
All,Greece,First degree,Part-time,2021/22,Scotland,5
All,Greece,First degree,Part-time,2021/22,Northern Ireland,0
All,Greece,First degree,Part-time,2021/22,Total United Kingdom,125
All,Greece,First degree,All,2021/22,North East,360
All,Greece,First degree,All,2021/22,North West,215
All,Greece,First degree,All,2021/22,Yorkshire and The Humber,220
All,Greece,First degree,All,2021/22,East Midlands,175
All,Greece,First degree,All,2021/22,West Midlands,245
All,Greece,First degree,All,2021/22,East of England,245
All,Greece,First degree,All,2021/22,London,970
All,Greece,First degree,All,2021/22,South East,825
All,Greece,First degree,All,2021/22,South West,425
All,Greece,First degree,All,2021/22,The Open University in England,0
All,Greece,First degree,All,2021/22,England,3680
All,Greece,First degree,All,2021/22,Wales,180
All,Greece,First degree,All,2021/22,Scotland,540
All,Greece,First degree,All,2021/22,Northern Ireland,5
All,Greece,First degree,All,2021/22,Total United Kingdom,4410
All,Greece,Other undergraduate,Full-time,2021/22,North East,0
All,Greece,Other undergraduate,Full-time,2021/22,North West,0
All,Greece,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0
All,Greece,Other undergraduate,Full-time,2021/22,East Midlands,0
All,Greece,Other undergraduate,Full-time,2021/22,West Midlands,0
All,Greece,Other undergraduate,Full-time,2021/22,East of England,5
All,Greece,Other undergraduate,Full-time,2021/22,London,5
All,Greece,Other undergraduate,Full-time,2021/22,South East,5
All,Greece,Other undergraduate,Full-time,2021/22,South West,0
All,Greece,Other undergraduate,Full-time,2021/22,The Open University in England,0
All,Greece,Other undergraduate,Full-time,2021/22,England,15
All,Greece,Other undergraduate,Full-time,2021/22,Wales,0
All,Greece,Other undergraduate,Full-time,2021/22,Scotland,0
All,Greece,Other undergraduate,Full-time,2021/22,Northern Ireland,0
All,Greece,Other undergraduate,Full-time,2021/22,Total United Kingdom,15
All,Greece,Other undergraduate,Part-time,2021/22,North East,0
All,Greece,Other undergraduate,Part-time,2021/22,North West,0
All,Greece,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,5
All,Greece,Other undergraduate,Part-time,2021/22,East Midlands,0
All,Greece,Other undergraduate,Part-time,2021/22,West Midlands,5
All,Greece,Other undergraduate,Part-time,2021/22,East of England,5
All,Greece,Other undergraduate,Part-time,2021/22,London,5
All,Greece,Other undergraduate,Part-time,2021/22,South East,0
All,Greece,Other undergraduate,Part-time,2021/22,South West,0
All,Greece,Other undergraduate,Part-time,2021/22,The Open University in England,0
All,Greece,Other undergraduate,Part-time,2021/22,England,25
All,Greece,Other undergraduate,Part-time,2021/22,Wales,5
All,Greece,Other undergraduate,Part-time,2021/22,Scotland,10
All,Greece,Other undergraduate,Part-time,2021/22,Northern Ireland,0
All,Greece,Other undergraduate,Part-time,2021/22,Total United Kingdom,40
All,Greece,Other undergraduate,All,2021/22,North East,0
All,Greece,Other undergraduate,All,2021/22,North West,0
All,Greece,Other undergraduate,All,2021/22,Yorkshire and The Humber,5
All,Greece,Other undergraduate,All,2021/22,East Midlands,5
All,Greece,Other undergraduate,All,2021/22,West Midlands,5
All,Greece,Other undergraduate,All,2021/22,East of England,5
All,Greece,Other undergraduate,All,2021/22,London,10
All,Greece,Other undergraduate,All,2021/22,South East,5
All,Greece,Other undergraduate,All,2021/22,South West,0
All,Greece,Other undergraduate,All,2021/22,The Open University in England,0
All,Greece,Other undergraduate,All,2021/22,England,40
All,Greece,Other undergraduate,All,2021/22,Wales,5
All,Greece,Other undergraduate,All,2021/22,Scotland,10
All,Greece,Other undergraduate,All,2021/22,Northern Ireland,0
All,Greece,Other undergraduate,All,2021/22,Total United Kingdom,55
All,Greece,All undergraduate,Full-time,2021/22,North East,340
All,Greece,All undergraduate,Full-time,2021/22,North West,210
All,Greece,All undergraduate,Full-time,2021/22,Yorkshire and The Humber,215
All,Greece,All undergraduate,Full-time,2021/22,East Midlands,170
All,Greece,All undergraduate,Full-time,2021/22,West Midlands,235
All,Greece,All undergraduate,Full-time,2021/22,East of England,235
All,Greece,All undergraduate,Full-time,2021/22,London,955
All,Greece,All undergraduate,Full-time,2021/22,South East,805
All,Greece,All undergraduate,Full-time,2021/22,South West,415
All,Greece,All undergraduate,Full-time,2021/22,The Open University in England,0
All,Greece,All undergraduate,Full-time,2021/22,England,3580
All,Greece,All undergraduate,Full-time,2021/22,Wales,175
All,Greece,All undergraduate,Full-time,2021/22,Scotland,540
All,Greece,All undergraduate,Full-time,2021/22,Northern Ireland,5
All,Greece,All undergraduate,Full-time,2021/22,Total United Kingdom,4300
All,Greece,All undergraduate,Part-time,2021/22,North East,20
All,Greece,All undergraduate,Part-time,2021/22,North West,5
All,Greece,All undergraduate,Part-time,2021/22,Yorkshire and The Humber,10
All,Greece,All undergraduate,Part-time,2021/22,East Midlands,5
All,Greece,All undergraduate,Part-time,2021/22,West Midlands,15
All,Greece,All undergraduate,Part-time,2021/22,East of England,15
All,Greece,All undergraduate,Part-time,2021/22,London,30
All,Greece,All undergraduate,Part-time,2021/22,South East,25
All,Greece,All undergraduate,Part-time,2021/22,South West,10
All,Greece,All undergraduate,Part-time,2021/22,The Open University in England,0
All,Greece,All undergraduate,Part-time,2021/22,England,140
All,Greece,All undergraduate,Part-time,2021/22,Wales,10
All,Greece,All undergraduate,Part-time,2021/22,Scotland,15
All,Greece,All undergraduate,Part-time,2021/22,Northern Ireland,0
All,Greece,All undergraduate,Part-time,2021/22,Total United Kingdom,165
All,Greece,All undergraduate,All,2021/22,North East,360
All,Greece,All undergraduate,All,2021/22,North West,215
All,Greece,All undergraduate,All,2021/22,Yorkshire and The Humber,230
All,Greece,All undergraduate,All,2021/22,East Midlands,175
All,Greece,All undergraduate,All,2021/22,West Midlands,250
All,Greece,All undergraduate,All,2021/22,East of England,250
All,Greece,All undergraduate,All,2021/22,London,985
All,Greece,All undergraduate,All,2021/22,South East,830
All,Greece,All undergraduate,All,2021/22,South West,425
All,Greece,All undergraduate,All,2021/22,The Open University in England,0
All,Greece,All undergraduate,All,2021/22,England,3720
All,Greece,All undergraduate,All,2021/22,Wales,185
All,Greece,All undergraduate,All,2021/22,Scotland,555
All,Greece,All undergraduate,All,2021/22,Northern Ireland,5
All,Greece,All undergraduate,All,2021/22,Total United Kingdom,4465
All,Russia,All,Full-time,2021/22,North East,100
All,Russia,All,Full-time,2021/22,North West,165
All,Russia,All,Full-time,2021/22,Yorkshire and The Humber,85
All,Russia,All,Full-time,2021/22,East Midlands,95
All,Russia,All,Full-time,2021/22,West Midlands,120
All,Russia,All,Full-time,2021/22,East of England,170
All,Russia,All,Full-time,2021/22,London,1515
All,Russia,All,Full-time,2021/22,South East,355
All,Russia,All,Full-time,2021/22,South West,225
All,Russia,All,Full-time,2021/22,The Open University in England,0
All,Russia,All,Full-time,2021/22,England,2830
All,Russia,All,Full-time,2021/22,Wales,40
All,Russia,All,Full-time,2021/22,Scotland,275
All,Russia,All,Full-time,2021/22,Northern Ireland,15
All,Russia,All,Full-time,2021/22,Total United Kingdom,3160
All,Russia,All,Part-time,2021/22,North East,5
All,Russia,All,Part-time,2021/22,North West,5
All,Russia,All,Part-time,2021/22,Yorkshire and The Humber,5
All,Russia,All,Part-time,2021/22,East Midlands,5
All,Russia,All,Part-time,2021/22,West Midlands,20
All,Russia,All,Part-time,2021/22,East of England,5
All,Russia,All,Part-time,2021/22,London,80
All,Russia,All,Part-time,2021/22,South East,35
All,Russia,All,Part-time,2021/22,South West,5
All,Russia,All,Part-time,2021/22,The Open University in England,0
All,Russia,All,Part-time,2021/22,England,165
All,Russia,All,Part-time,2021/22,Wales,5
All,Russia,All,Part-time,2021/22,Scotland,25
All,Russia,All,Part-time,2021/22,Northern Ireland,0
All,Russia,All,Part-time,2021/22,Total United Kingdom,195
All,Russia,All,All,2021/22,North East,105
All,Russia,All,All,2021/22,North West,170
All,Russia,All,All,2021/22,Yorkshire and The Humber,95
All,Russia,All,All,2021/22,East Midlands,100
All,Russia,All,All,2021/22,West Midlands,140
All,Russia,All,All,2021/22,East of England,170
All,Russia,All,All,2021/22,London,1595
All,Russia,All,All,2021/22,South East,390
All,Russia,All,All,2021/22,South West,225
All,Russia,All,All,2021/22,The Open University in England,0
All,Russia,All,All,2021/22,England,2995
All,Russia,All,All,2021/22,Wales,45
All,Russia,All,All,2021/22,Scotland,295
All,Russia,All,All,2021/22,Northern Ireland,20
All,Russia,All,All,2021/22,Total United Kingdom,3355
All,Russia,Postgraduate (research),Full-time,2021/22,North East,10
All,Russia,Postgraduate (research),Full-time,2021/22,North West,20
All,Russia,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,5
All,Russia,Postgraduate (research),Full-time,2021/22,East Midlands,5
All,Russia,Postgraduate (research),Full-time,2021/22,West Midlands,20
All,Russia,Postgraduate (research),Full-time,2021/22,East of England,35
All,Russia,Postgraduate (research),Full-time,2021/22,London,55
All,Russia,Postgraduate (research),Full-time,2021/22,South East,40
All,Russia,Postgraduate (research),Full-time,2021/22,South West,10
All,Russia,Postgraduate (research),Full-time,2021/22,The Open University in England,0
All,Russia,Postgraduate (research),Full-time,2021/22,England,200
All,Russia,Postgraduate (research),Full-time,2021/22,Wales,0
All,Russia,Postgraduate (research),Full-time,2021/22,Scotland,20
All,Russia,Postgraduate (research),Full-time,2021/22,Northern Ireland,0
All,Russia,Postgraduate (research),Full-time,2021/22,Total United Kingdom,220
All,Russia,Postgraduate (research),Part-time,2021/22,North East,0
All,Russia,Postgraduate (research),Part-time,2021/22,North West,0
All,Russia,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,0
All,Russia,Postgraduate (research),Part-time,2021/22,East Midlands,0
All,Russia,Postgraduate (research),Part-time,2021/22,West Midlands,0
All,Russia,Postgraduate (research),Part-time,2021/22,East of England,0
All,Russia,Postgraduate (research),Part-time,2021/22,London,5
All,Russia,Postgraduate (research),Part-time,2021/22,South East,0
All,Russia,Postgraduate (research),Part-time,2021/22,South West,0
All,Russia,Postgraduate (research),Part-time,2021/22,The Open University in England,0
All,Russia,Postgraduate (research),Part-time,2021/22,England,10
All,Russia,Postgraduate (research),Part-time,2021/22,Wales,0
All,Russia,Postgraduate (research),Part-time,2021/22,Scotland,0
All,Russia,Postgraduate (research),Part-time,2021/22,Northern Ireland,0
All,Russia,Postgraduate (research),Part-time,2021/22,Total United Kingdom,10
All,Russia,Postgraduate (research),All,2021/22,North East,10
All,Russia,Postgraduate (research),All,2021/22,North West,20
All,Russia,Postgraduate (research),All,2021/22,Yorkshire and The Humber,5
All,Russia,Postgraduate (research),All,2021/22,East Midlands,10
All,Russia,Postgraduate (research),All,2021/22,West Midlands,20
All,Russia,Postgraduate (research),All,2021/22,East of England,35
All,Russia,Postgraduate (research),All,2021/22,London,60
All,Russia,Postgraduate (research),All,2021/22,South East,40
All,Russia,Postgraduate (research),All,2021/22,South West,10
All,Russia,Postgraduate (research),All,2021/22,The Open University in England,0
All,Russia,Postgraduate (research),All,2021/22,England,210
All,Russia,Postgraduate (research),All,2021/22,Wales,0
All,Russia,Postgraduate (research),All,2021/22,Scotland,20
All,Russia,Postgraduate (research),All,2021/22,Northern Ireland,0
All,Russia,Postgraduate (research),All,2021/22,Total United Kingdom,230
All,Russia,Postgraduate (taught),Full-time,2021/22,North East,20
All,Russia,Postgraduate (taught),Full-time,2021/22,North West,35
All,Russia,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,20
All,Russia,Postgraduate (taught),Full-time,2021/22,East Midlands,15
All,Russia,Postgraduate (taught),Full-time,2021/22,West Midlands,35
All,Russia,Postgraduate (taught),Full-time,2021/22,East of England,35
All,Russia,Postgraduate (taught),Full-time,2021/22,London,460
All,Russia,Postgraduate (taught),Full-time,2021/22,South East,65
All,Russia,Postgraduate (taught),Full-time,2021/22,South West,30
All,Russia,Postgraduate (taught),Full-time,2021/22,The Open University in England,0
All,Russia,Postgraduate (taught),Full-time,2021/22,England,715
All,Russia,Postgraduate (taught),Full-time,2021/22,Wales,10
All,Russia,Postgraduate (taught),Full-time,2021/22,Scotland,95
All,Russia,Postgraduate (taught),Full-time,2021/22,Northern Ireland,10
All,Russia,Postgraduate (taught),Full-time,2021/22,Total United Kingdom,830
All,Russia,Postgraduate (taught),Part-time,2021/22,North East,0
All,Russia,Postgraduate (taught),Part-time,2021/22,North West,5
All,Russia,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,5
All,Russia,Postgraduate (taught),Part-time,2021/22,East Midlands,5
All,Russia,Postgraduate (taught),Part-time,2021/22,West Midlands,10
All,Russia,Postgraduate (taught),Part-time,2021/22,East of England,0
All,Russia,Postgraduate (taught),Part-time,2021/22,London,50
All,Russia,Postgraduate (taught),Part-time,2021/22,South East,25
All,Russia,Postgraduate (taught),Part-time,2021/22,South West,5
All,Russia,Postgraduate (taught),Part-time,2021/22,The Open University in England,0
All,Russia,Postgraduate (taught),Part-time,2021/22,England,110
All,Russia,Postgraduate (taught),Part-time,2021/22,Wales,0
All,Russia,Postgraduate (taught),Part-time,2021/22,Scotland,15
All,Russia,Postgraduate (taught),Part-time,2021/22,Northern Ireland,0
All,Russia,Postgraduate (taught),Part-time,2021/22,Total United Kingdom,125
All,Russia,Postgraduate (taught),All,2021/22,North East,25
All,Russia,Postgraduate (taught),All,2021/22,North West,40
All,Russia,Postgraduate (taught),All,2021/22,Yorkshire and The Humber,25
All,Russia,Postgraduate (taught),All,2021/22,East Midlands,20
All,Russia,Postgraduate (taught),All,2021/22,West Midlands,45
All,Russia,Postgraduate (taught),All,2021/22,East of England,35
All,Russia,Postgraduate (taught),All,2021/22,London,510
All,Russia,Postgraduate (taught),All,2021/22,South East,95
All,Russia,Postgraduate (taught),All,2021/22,South West,35
All,Russia,Postgraduate (taught),All,2021/22,The Open University in England,0
All,Russia,Postgraduate (taught),All,2021/22,England,825
All,Russia,Postgraduate (taught),All,2021/22,Wales,15
All,Russia,Postgraduate (taught),All,2021/22,Scotland,110
All,Russia,Postgraduate (taught),All,2021/22,Northern Ireland,10
All,Russia,Postgraduate (taught),All,2021/22,Total United Kingdom,955
All,Russia,All postgraduate,Full-time,2021/22,North East,30
All,Russia,All postgraduate,Full-time,2021/22,North West,55
All,Russia,All postgraduate,Full-time,2021/22,Yorkshire and The Humber,25
All,Russia,All postgraduate,Full-time,2021/22,East Midlands,25
All,Russia,All postgraduate,Full-time,2021/22,West Midlands,50
All,Russia,All postgraduate,Full-time,2021/22,East of England,70
All,Russia,All postgraduate,Full-time,2021/22,London,515
All,Russia,All postgraduate,Full-time,2021/22,South East,105
All,Russia,All postgraduate,Full-time,2021/22,South West,40
All,Russia,All postgraduate,Full-time,2021/22,The Open University in England,0
All,Russia,All postgraduate,Full-time,2021/22,England,915
All,Russia,All postgraduate,Full-time,2021/22,Wales,15
All,Russia,All postgraduate,Full-time,2021/22,Scotland,115
All,Russia,All postgraduate,Full-time,2021/22,Northern Ireland,10
All,Russia,All postgraduate,Full-time,2021/22,Total United Kingdom,1050
All,Russia,All postgraduate,Part-time,2021/22,North East,0
All,Russia,All postgraduate,Part-time,2021/22,North West,5
