4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Russia,All postgraduate,Part-time,2021/22,Yorkshire and The Humber,5
All,Russia,All postgraduate,Part-time,2021/22,East Midlands,5
All,Russia,All postgraduate,Part-time,2021/22,West Midlands,10
All,Russia,All postgraduate,Part-time,2021/22,East of England,0
All,Russia,All postgraduate,Part-time,2021/22,London,55
All,Russia,All postgraduate,Part-time,2021/22,South East,30
All,Russia,All postgraduate,Part-time,2021/22,South West,5
All,Russia,All postgraduate,Part-time,2021/22,The Open University in England,0
All,Russia,All postgraduate,Part-time,2021/22,England,120
All,Russia,All postgraduate,Part-time,2021/22,Wales,0
All,Russia,All postgraduate,Part-time,2021/22,Scotland,15
All,Russia,All postgraduate,Part-time,2021/22,Northern Ireland,0
All,Russia,All postgraduate,Part-time,2021/22,Total United Kingdom,135
All,Russia,All postgraduate,All,2021/22,North East,35
All,Russia,All postgraduate,All,2021/22,North West,60
All,Russia,All postgraduate,All,2021/22,Yorkshire and The Humber,30
All,Russia,All postgraduate,All,2021/22,East Midlands,30
All,Russia,All postgraduate,All,2021/22,West Midlands,65
All,Russia,All postgraduate,All,2021/22,East of England,75
All,Russia,All postgraduate,All,2021/22,London,570
All,Russia,All postgraduate,All,2021/22,South East,130
All,Russia,All postgraduate,All,2021/22,South West,40
All,Russia,All postgraduate,All,2021/22,The Open University in England,0
All,Russia,All postgraduate,All,2021/22,England,1035
All,Russia,All postgraduate,All,2021/22,Wales,15
All,Russia,All postgraduate,All,2021/22,Scotland,125
All,Russia,All postgraduate,All,2021/22,Northern Ireland,10
All,Russia,All postgraduate,All,2021/22,Total United Kingdom,1185
All,Russia,First degree,Full-time,2021/22,North East,60
All,Russia,First degree,Full-time,2021/22,North West,110
All,Russia,First degree,Full-time,2021/22,Yorkshire and The Humber,60
All,Russia,First degree,Full-time,2021/22,East Midlands,70
All,Russia,First degree,Full-time,2021/22,West Midlands,70
All,Russia,First degree,Full-time,2021/22,East of England,85
All,Russia,First degree,Full-time,2021/22,London,965
All,Russia,First degree,Full-time,2021/22,South East,245
All,Russia,First degree,Full-time,2021/22,South West,175
All,Russia,First degree,Full-time,2021/22,The Open University in England,0
All,Russia,First degree,Full-time,2021/22,England,1840
All,Russia,First degree,Full-time,2021/22,Wales,30
All,Russia,First degree,Full-time,2021/22,Scotland,150
All,Russia,First degree,Full-time,2021/22,Northern Ireland,5
All,Russia,First degree,Full-time,2021/22,Total United Kingdom,2025
All,Russia,First degree,Part-time,2021/22,North East,0
All,Russia,First degree,Part-time,2021/22,North West,0
All,Russia,First degree,Part-time,2021/22,Yorkshire and The Humber,0
All,Russia,First degree,Part-time,2021/22,East Midlands,0
All,Russia,First degree,Part-time,2021/22,West Midlands,0
All,Russia,First degree,Part-time,2021/22,East of England,0
All,Russia,First degree,Part-time,2021/22,London,15
All,Russia,First degree,Part-time,2021/22,South East,0
All,Russia,First degree,Part-time,2021/22,South West,0
All,Russia,First degree,Part-time,2021/22,The Open University in England,0
All,Russia,First degree,Part-time,2021/22,England,20
All,Russia,First degree,Part-time,2021/22,Wales,5
All,Russia,First degree,Part-time,2021/22,Scotland,5
All,Russia,First degree,Part-time,2021/22,Northern Ireland,0
All,Russia,First degree,Part-time,2021/22,Total United Kingdom,30
All,Russia,First degree,All,2021/22,North East,60
All,Russia,First degree,All,2021/22,North West,110
All,Russia,First degree,All,2021/22,Yorkshire and The Humber,60
All,Russia,First degree,All,2021/22,East Midlands,70
All,Russia,First degree,All,2021/22,West Midlands,70
All,Russia,First degree,All,2021/22,East of England,85
All,Russia,First degree,All,2021/22,London,980
All,Russia,First degree,All,2021/22,South East,245
All,Russia,First degree,All,2021/22,South West,175
All,Russia,First degree,All,2021/22,The Open University in England,0
All,Russia,First degree,All,2021/22,England,1865
All,Russia,First degree,All,2021/22,Wales,30
All,Russia,First degree,All,2021/22,Scotland,150
All,Russia,First degree,All,2021/22,Northern Ireland,5
All,Russia,First degree,All,2021/22,Total United Kingdom,2050
All,Russia,Other undergraduate,Full-time,2021/22,North East,10
All,Russia,Other undergraduate,Full-time,2021/22,North West,0
All,Russia,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0
All,Russia,Other undergraduate,Full-time,2021/22,East Midlands,0
All,Russia,Other undergraduate,Full-time,2021/22,West Midlands,0
All,Russia,Other undergraduate,Full-time,2021/22,East of England,10
All,Russia,Other undergraduate,Full-time,2021/22,London,35
All,Russia,Other undergraduate,Full-time,2021/22,South East,10
All,Russia,Other undergraduate,Full-time,2021/22,South West,10
All,Russia,Other undergraduate,Full-time,2021/22,The Open University in England,0
All,Russia,Other undergraduate,Full-time,2021/22,England,75
All,Russia,Other undergraduate,Full-time,2021/22,Wales,0
All,Russia,Other undergraduate,Full-time,2021/22,Scotland,10
All,Russia,Other undergraduate,Full-time,2021/22,Northern Ireland,0
All,Russia,Other undergraduate,Full-time,2021/22,Total United Kingdom,90
All,Russia,Other undergraduate,Part-time,2021/22,North East,0
All,Russia,Other undergraduate,Part-time,2021/22,North West,0
All,Russia,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Russia,Other undergraduate,Part-time,2021/22,East Midlands,0
All,Russia,Other undergraduate,Part-time,2021/22,West Midlands,5
All,Russia,Other undergraduate,Part-time,2021/22,East of England,0
All,Russia,Other undergraduate,Part-time,2021/22,London,10
All,Russia,Other undergraduate,Part-time,2021/22,South East,5
All,Russia,Other undergraduate,Part-time,2021/22,South West,0
All,Russia,Other undergraduate,Part-time,2021/22,The Open University in England,0
All,Russia,Other undergraduate,Part-time,2021/22,England,20
All,Russia,Other undergraduate,Part-time,2021/22,Wales,0
All,Russia,Other undergraduate,Part-time,2021/22,Scotland,10
All,Russia,Other undergraduate,Part-time,2021/22,Northern Ireland,0
All,Russia,Other undergraduate,Part-time,2021/22,Total United Kingdom,30
All,Russia,Other undergraduate,All,2021/22,North East,10
All,Russia,Other undergraduate,All,2021/22,North West,0
All,Russia,Other undergraduate,All,2021/22,Yorkshire and The Humber,0
All,Russia,Other undergraduate,All,2021/22,East Midlands,0
All,Russia,Other undergraduate,All,2021/22,West Midlands,5
All,Russia,Other undergraduate,All,2021/22,East of England,15
All,Russia,Other undergraduate,All,2021/22,London,45
All,Russia,Other undergraduate,All,2021/22,South East,10
All,Russia,Other undergraduate,All,2021/22,South West,10
All,Russia,Other undergraduate,All,2021/22,The Open University in England,0
All,Russia,Other undergraduate,All,2021/22,England,95
All,Russia,Other undergraduate,All,2021/22,Wales,0
All,Russia,Other undergraduate,All,2021/22,Scotland,20
All,Russia,Other undergraduate,All,2021/22,Northern Ireland,5
All,Russia,Other undergraduate,All,2021/22,Total United Kingdom,120
All,Russia,All undergraduate,Full-time,2021/22,North East,65
All,Russia,All undergraduate,Full-time,2021/22,North West,110
All,Russia,All undergraduate,Full-time,2021/22,Yorkshire and The Humber,60
All,Russia,All undergraduate,Full-time,2021/22,East Midlands,75
All,Russia,All undergraduate,Full-time,2021/22,West Midlands,70
All,Russia,All undergraduate,Full-time,2021/22,East of England,100
All,Russia,All undergraduate,Full-time,2021/22,London,1000
All,Russia,All undergraduate,Full-time,2021/22,South East,250
All,Russia,All undergraduate,Full-time,2021/22,South West,185
All,Russia,All undergraduate,Full-time,2021/22,The Open University in England,0
All,Russia,All undergraduate,Full-time,2021/22,England,1920
All,Russia,All undergraduate,Full-time,2021/22,Wales,30
All,Russia,All undergraduate,Full-time,2021/22,Scotland,160
All,Russia,All undergraduate,Full-time,2021/22,Northern Ireland,5
All,Russia,All undergraduate,Full-time,2021/22,Total United Kingdom,2110
All,Russia,All undergraduate,Part-time,2021/22,North East,0
All,Russia,All undergraduate,Part-time,2021/22,North West,0
All,Russia,All undergraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Russia,All undergraduate,Part-time,2021/22,East Midlands,0
All,Russia,All undergraduate,Part-time,2021/22,West Midlands,5
All,Russia,All undergraduate,Part-time,2021/22,East of England,0
All,Russia,All undergraduate,Part-time,2021/22,London,25
All,Russia,All undergraduate,Part-time,2021/22,South East,5
All,Russia,All undergraduate,Part-time,2021/22,South West,0
All,Russia,All undergraduate,Part-time,2021/22,The Open University in England,0
All,Russia,All undergraduate,Part-time,2021/22,England,40
All,Russia,All undergraduate,Part-time,2021/22,Wales,5
All,Russia,All undergraduate,Part-time,2021/22,Scotland,10
All,Russia,All undergraduate,Part-time,2021/22,Northern Ireland,0
All,Russia,All undergraduate,Part-time,2021/22,Total United Kingdom,60
All,Russia,All undergraduate,All,2021/22,North East,70
All,Russia,All undergraduate,All,2021/22,North West,110
All,Russia,All undergraduate,All,2021/22,Yorkshire and The Humber,60
All,Russia,All undergraduate,All,2021/22,East Midlands,75
All,Russia,All undergraduate,All,2021/22,West Midlands,75
All,Russia,All undergraduate,All,2021/22,East of England,100
All,Russia,All undergraduate,All,2021/22,London,1025
All,Russia,All undergraduate,All,2021/22,South East,255
All,Russia,All undergraduate,All,2021/22,South West,185
All,Russia,All undergraduate,All,2021/22,The Open University in England,0
All,Russia,All undergraduate,All,2021/22,England,1960
All,Russia,All undergraduate,All,2021/22,Wales,35
All,Russia,All undergraduate,All,2021/22,Scotland,170
All,Russia,All undergraduate,All,2021/22,Northern Ireland,5
All,Russia,All undergraduate,All,2021/22,Total United Kingdom,2170
All,Turkey,All,Full-time,2021/22,North East,140
All,Turkey,All,Full-time,2021/22,North West,270
All,Turkey,All,Full-time,2021/22,Yorkshire and The Humber,190
All,Turkey,All,Full-time,2021/22,East Midlands,285
All,Turkey,All,Full-time,2021/22,West Midlands,240
All,Turkey,All,Full-time,2021/22,East of England,250
All,Turkey,All,Full-time,2021/22,London,1875
All,Turkey,All,Full-time,2021/22,South East,615
All,Turkey,All,Full-time,2021/22,South West,395
All,Turkey,All,Full-time,2021/22,The Open University in England,0
All,Turkey,All,Full-time,2021/22,England,4250
All,Turkey,All,Full-time,2021/22,Wales,105
All,Turkey,All,Full-time,2021/22,Scotland,370
All,Turkey,All,Full-time,2021/22,Northern Ireland,45
All,Turkey,All,Full-time,2021/22,Total United Kingdom,4770
All,Turkey,All,Part-time,2021/22,North East,5
All,Turkey,All,Part-time,2021/22,North West,10
All,Turkey,All,Part-time,2021/22,Yorkshire and The Humber,10
All,Turkey,All,Part-time,2021/22,East Midlands,5
All,Turkey,All,Part-time,2021/22,West Midlands,15
All,Turkey,All,Part-time,2021/22,East of England,15
All,Turkey,All,Part-time,2021/22,London,70
All,Turkey,All,Part-time,2021/22,South East,25
All,Turkey,All,Part-time,2021/22,South West,15
All,Turkey,All,Part-time,2021/22,The Open University in England,0
All,Turkey,All,Part-time,2021/22,England,175
All,Turkey,All,Part-time,2021/22,Wales,10
All,Turkey,All,Part-time,2021/22,Scotland,25
All,Turkey,All,Part-time,2021/22,Northern Ireland,0
All,Turkey,All,Part-time,2021/22,Total United Kingdom,210
All,Turkey,All,All,2021/22,North East,145
All,Turkey,All,All,2021/22,North West,280
All,Turkey,All,All,2021/22,Yorkshire and The Humber,200
All,Turkey,All,All,2021/22,East Midlands,290
All,Turkey,All,All,2021/22,West Midlands,250
All,Turkey,All,All,2021/22,East of England,260
All,Turkey,All,All,2021/22,London,1945
All,Turkey,All,All,2021/22,South East,640
All,Turkey,All,All,2021/22,South West,410
All,Turkey,All,All,2021/22,The Open University in England,0
All,Turkey,All,All,2021/22,England,4425
All,Turkey,All,All,2021/22,Wales,115
All,Turkey,All,All,2021/22,Scotland,395
All,Turkey,All,All,2021/22,Northern Ireland,50
All,Turkey,All,All,2021/22,Total United Kingdom,4980
All,Turkey,Postgraduate (research),Full-time,2021/22,North East,40
All,Turkey,Postgraduate (research),Full-time,2021/22,North West,75
All,Turkey,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,70
All,Turkey,Postgraduate (research),Full-time,2021/22,East Midlands,70
All,Turkey,Postgraduate (research),Full-time,2021/22,West Midlands,65
All,Turkey,Postgraduate (research),Full-time,2021/22,East of England,65
All,Turkey,Postgraduate (research),Full-time,2021/22,London,195
All,Turkey,Postgraduate (research),Full-time,2021/22,South East,145
All,Turkey,Postgraduate (research),Full-time,2021/22,South West,90
All,Turkey,Postgraduate (research),Full-time,2021/22,The Open University in England,0
All,Turkey,Postgraduate (research),Full-time,2021/22,England,815
All,Turkey,Postgraduate (research),Full-time,2021/22,Wales,35
All,Turkey,Postgraduate (research),Full-time,2021/22,Scotland,130
All,Turkey,Postgraduate (research),Full-time,2021/22,Northern Ireland,15
All,Turkey,Postgraduate (research),Full-time,2021/22,Total United Kingdom,995
All,Turkey,Postgraduate (research),Part-time,2021/22,North East,0
All,Turkey,Postgraduate (research),Part-time,2021/22,North West,5
All,Turkey,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,0
All,Turkey,Postgraduate (research),Part-time,2021/22,East Midlands,0
All,Turkey,Postgraduate (research),Part-time,2021/22,West Midlands,0
All,Turkey,Postgraduate (research),Part-time,2021/22,East of England,0
All,Turkey,Postgraduate (research),Part-time,2021/22,London,15
All,Turkey,Postgraduate (research),Part-time,2021/22,South East,5
All,Turkey,Postgraduate (research),Part-time,2021/22,South West,5
All,Turkey,Postgraduate (research),Part-time,2021/22,The Open University in England,0
All,Turkey,Postgraduate (research),Part-time,2021/22,England,30
All,Turkey,Postgraduate (research),Part-time,2021/22,Wales,5
All,Turkey,Postgraduate (research),Part-time,2021/22,Scotland,5
All,Turkey,Postgraduate (research),Part-time,2021/22,Northern Ireland,0
All,Turkey,Postgraduate (research),Part-time,2021/22,Total United Kingdom,40
All,Turkey,Postgraduate (research),All,2021/22,North East,40
All,Turkey,Postgraduate (research),All,2021/22,North West,75
All,Turkey,Postgraduate (research),All,2021/22,Yorkshire and The Humber,70
All,Turkey,Postgraduate (research),All,2021/22,East Midlands,70
All,Turkey,Postgraduate (research),All,2021/22,West Midlands,70
All,Turkey,Postgraduate (research),All,2021/22,East of England,65
All,Turkey,Postgraduate (research),All,2021/22,London,205
All,Turkey,Postgraduate (research),All,2021/22,South East,150
All,Turkey,Postgraduate (research),All,2021/22,South West,95
All,Turkey,Postgraduate (research),All,2021/22,The Open University in England,0
All,Turkey,Postgraduate (research),All,2021/22,England,845
All,Turkey,Postgraduate (research),All,2021/22,Wales,35
All,Turkey,Postgraduate (research),All,2021/22,Scotland,135
All,Turkey,Postgraduate (research),All,2021/22,Northern Ireland,20
All,Turkey,Postgraduate (research),All,2021/22,Total United Kingdom,1035
All,Turkey,Postgraduate (taught),Full-time,2021/22,North East,40
All,Turkey,Postgraduate (taught),Full-time,2021/22,North West,50
All,Turkey,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,55
All,Turkey,Postgraduate (taught),Full-time,2021/22,East Midlands,65
All,Turkey,Postgraduate (taught),Full-time,2021/22,West Midlands,75
All,Turkey,Postgraduate (taught),Full-time,2021/22,East of England,110
All,Turkey,Postgraduate (taught),Full-time,2021/22,London,680
All,Turkey,Postgraduate (taught),Full-time,2021/22,South East,225
All,Turkey,Postgraduate (taught),Full-time,2021/22,South West,125
All,Turkey,Postgraduate (taught),Full-time,2021/22,The Open University in England,0
All,Turkey,Postgraduate (taught),Full-time,2021/22,England,1420
All,Turkey,Postgraduate (taught),Full-time,2021/22,Wales,55
All,Turkey,Postgraduate (taught),Full-time,2021/22,Scotland,125
All,Turkey,Postgraduate (taught),Full-time,2021/22,Northern Ireland,25
All,Turkey,Postgraduate (taught),Full-time,2021/22,Total United Kingdom,1630
All,Turkey,Postgraduate (taught),Part-time,2021/22,North East,0
All,Turkey,Postgraduate (taught),Part-time,2021/22,North West,5
All,Turkey,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,10
All,Turkey,Postgraduate (taught),Part-time,2021/22,East Midlands,5
All,Turkey,Postgraduate (taught),Part-time,2021/22,West Midlands,10
All,Turkey,Postgraduate (taught),Part-time,2021/22,East of England,5
All,Turkey,Postgraduate (taught),Part-time,2021/22,London,50
All,Turkey,Postgraduate (taught),Part-time,2021/22,South East,10
All,Turkey,Postgraduate (taught),Part-time,2021/22,South West,10
All,Turkey,Postgraduate (taught),Part-time,2021/22,The Open University in England,0
All,Turkey,Postgraduate (taught),Part-time,2021/22,England,105
All,Turkey,Postgraduate (taught),Part-time,2021/22,Wales,5
All,Turkey,Postgraduate (taught),Part-time,2021/22,Scotland,15
All,Turkey,Postgraduate (taught),Part-time,2021/22,Northern Ireland,0
All,Turkey,Postgraduate (taught),Part-time,2021/22,Total United Kingdom,125
All,Turkey,Postgraduate (taught),All,2021/22,North East,40
All,Turkey,Postgraduate (taught),All,2021/22,North West,60
All,Turkey,Postgraduate (taught),All,2021/22,Yorkshire and The Humber,65
All,Turkey,Postgraduate (taught),All,2021/22,East Midlands,65
All,Turkey,Postgraduate (taught),All,2021/22,West Midlands,85
All,Turkey,Postgraduate (taught),All,2021/22,East of England,115
All,Turkey,Postgraduate (taught),All,2021/22,London,725
All,Turkey,Postgraduate (taught),All,2021/22,South East,235
All,Turkey,Postgraduate (taught),All,2021/22,South West,135
All,Turkey,Postgraduate (taught),All,2021/22,The Open University in England,0
All,Turkey,Postgraduate (taught),All,2021/22,England,1525
All,Turkey,Postgraduate (taught),All,2021/22,Wales,60
All,Turkey,Postgraduate (taught),All,2021/22,Scotland,140
All,Turkey,Postgraduate (taught),All,2021/22,Northern Ireland,30
All,Turkey,Postgraduate (taught),All,2021/22,Total United Kingdom,1755
All,Turkey,All postgraduate,Full-time,2021/22,North East,80
All,Turkey,All postgraduate,Full-time,2021/22,North West,125
All,Turkey,All postgraduate,Full-time,2021/22,Yorkshire and The Humber,125
All,Turkey,All postgraduate,Full-time,2021/22,East Midlands,135
All,Turkey,All postgraduate,Full-time,2021/22,West Midlands,145
All,Turkey,All postgraduate,Full-time,2021/22,East of England,175
All,Turkey,All postgraduate,Full-time,2021/22,London,870
All,Turkey,All postgraduate,Full-time,2021/22,South East,370
All,Turkey,All postgraduate,Full-time,2021/22,South West,220
All,Turkey,All postgraduate,Full-time,2021/22,The Open University in England,0
All,Turkey,All postgraduate,Full-time,2021/22,England,2235
All,Turkey,All postgraduate,Full-time,2021/22,Wales,90
All,Turkey,All postgraduate,Full-time,2021/22,Scotland,255
All,Turkey,All postgraduate,Full-time,2021/22,Northern Ireland,45
All,Turkey,All postgraduate,Full-time,2021/22,Total United Kingdom,2625
All,Turkey,All postgraduate,Part-time,2021/22,North East,5
All,Turkey,All postgraduate,Part-time,2021/22,North West,10
All,Turkey,All postgraduate,Part-time,2021/22,Yorkshire and The Humber,10
All,Turkey,All postgraduate,Part-time,2021/22,East Midlands,5
All,Turkey,All postgraduate,Part-time,2021/22,West Midlands,10
All,Turkey,All postgraduate,Part-time,2021/22,East of England,10
All,Turkey,All postgraduate,Part-time,2021/22,London,60
All,Turkey,All postgraduate,Part-time,2021/22,South East,15
All,Turkey,All postgraduate,Part-time,2021/22,South West,10
All,Turkey,All postgraduate,Part-time,2021/22,The Open University in England,0
All,Turkey,All postgraduate,Part-time,2021/22,England,140
All,Turkey,All postgraduate,Part-time,2021/22,Wales,10
All,Turkey,All postgraduate,Part-time,2021/22,Scotland,15
All,Turkey,All postgraduate,Part-time,2021/22,Northern Ireland,0
All,Turkey,All postgraduate,Part-time,2021/22,Total United Kingdom,165
All,Turkey,All postgraduate,All,2021/22,North East,80
All,Turkey,All postgraduate,All,2021/22,North West,135
All,Turkey,All postgraduate,All,2021/22,Yorkshire and The Humber,135
All,Turkey,All postgraduate,All,2021/22,East Midlands,140
All,Turkey,All postgraduate,All,2021/22,West Midlands,155
All,Turkey,All postgraduate,All,2021/22,East of England,180
All,Turkey,All postgraduate,All,2021/22,London,935
All,Turkey,All postgraduate,All,2021/22,South East,385
All,Turkey,All postgraduate,All,2021/22,South West,230
All,Turkey,All postgraduate,All,2021/22,The Open University in England,0
All,Turkey,All postgraduate,All,2021/22,England,2370
All,Turkey,All postgraduate,All,2021/22,Wales,95
All,Turkey,All postgraduate,All,2021/22,Scotland,275
All,Turkey,All postgraduate,All,2021/22,Northern Ireland,45
All,Turkey,All postgraduate,All,2021/22,Total United Kingdom,2790
All,Turkey,First degree,Full-time,2021/22,North East,65
All,Turkey,First degree,Full-time,2021/22,North West,145
All,Turkey,First degree,Full-time,2021/22,Yorkshire and The Humber,65
All,Turkey,First degree,Full-time,2021/22,East Midlands,150
All,Turkey,First degree,Full-time,2021/22,West Midlands,95
All,Turkey,First degree,Full-time,2021/22,East of England,75
All,Turkey,First degree,Full-time,2021/22,London,935
All,Turkey,First degree,Full-time,2021/22,South East,230
All,Turkey,First degree,Full-time,2021/22,South West,170
All,Turkey,First degree,Full-time,2021/22,The Open University in England,0
All,Turkey,First degree,Full-time,2021/22,England,1925
All,Turkey,First degree,Full-time,2021/22,Wales,15
All,Turkey,First degree,Full-time,2021/22,Scotland,110
All,Turkey,First degree,Full-time,2021/22,Northern Ireland,0
All,Turkey,First degree,Full-time,2021/22,Total United Kingdom,2055
All,Turkey,First degree,Part-time,2021/22,North East,0
All,Turkey,First degree,Part-time,2021/22,North West,0
All,Turkey,First degree,Part-time,2021/22,Yorkshire and The Humber,0
All,Turkey,First degree,Part-time,2021/22,East Midlands,0
All,Turkey,First degree,Part-time,2021/22,West Midlands,0
All,Turkey,First degree,Part-time,2021/22,East of England,0
All,Turkey,First degree,Part-time,2021/22,London,10
All,Turkey,First degree,Part-time,2021/22,South East,5
All,Turkey,First degree,Part-time,2021/22,South West,5
All,Turkey,First degree,Part-time,2021/22,The Open University in England,0
All,Turkey,First degree,Part-time,2021/22,England,25
All,Turkey,First degree,Part-time,2021/22,Wales,0
All,Turkey,First degree,Part-time,2021/22,Scotland,5
All,Turkey,First degree,Part-time,2021/22,Northern Ireland,0
All,Turkey,First degree,Part-time,2021/22,Total United Kingdom,25
All,Turkey,First degree,All,2021/22,North East,65
All,Turkey,First degree,All,2021/22,North West,145
All,Turkey,First degree,All,2021/22,Yorkshire and The Humber,65
All,Turkey,First degree,All,2021/22,East Midlands,150
All,Turkey,First degree,All,2021/22,West Midlands,95
All,Turkey,First degree,All,2021/22,East of England,75
All,Turkey,First degree,All,2021/22,London,945
All,Turkey,First degree,All,2021/22,South East,235
All,Turkey,First degree,All,2021/22,South West,175
All,Turkey,First degree,All,2021/22,The Open University in England,0
All,Turkey,First degree,All,2021/22,England,1950
All,Turkey,First degree,All,2021/22,Wales,15
All,Turkey,First degree,All,2021/22,Scotland,115
All,Turkey,First degree,All,2021/22,Northern Ireland,0
All,Turkey,First degree,All,2021/22,Total United Kingdom,2080
All,Turkey,Other undergraduate,Full-time,2021/22,North East,0
All,Turkey,Other undergraduate,Full-time,2021/22,North West,0
All,Turkey,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0
All,Turkey,Other undergraduate,Full-time,2021/22,East Midlands,0
All,Turkey,Other undergraduate,Full-time,2021/22,West Midlands,0
All,Turkey,Other undergraduate,Full-time,2021/22,East of England,0
All,Turkey,Other undergraduate,Full-time,2021/22,London,65
All,Turkey,Other undergraduate,Full-time,2021/22,South East,15
All,Turkey,Other undergraduate,Full-time,2021/22,South West,5
All,Turkey,Other undergraduate,Full-time,2021/22,The Open University in England,0
All,Turkey,Other undergraduate,Full-time,2021/22,England,90
